FrameWork,TPS,Threadpool,Avg Response Time(ms),P95,P99,Throughput(rps),Error Rate,CPU Usage,Memory(Mi),Latency(ms),Request Timeouts
boot,5000.0,50,5610.0,33700.0,50000.0,8.55,0.0,0.31,229.0,5710.0,0
boot,10000.0,50,8200.0,41000.0,72000.0,9.1,0.8,0.34,245.0,8300.0,2
boot,50000.0,50,22000.0,78000.0,130000.0,10.2,5.1,0.48,280.0,22500.0,12
boot,5000.0,100,1810.0,3580.0,10500.0,23.46,0.0,0.19,523.0,1345.0,0
boot,10000.0,100,1810.0,3580.0,10500.0,51.47,0.0,0.19,567.0,1910.0,0
boot,50000.0,100,16500.0,42000.0,88000.0,31.8,4.9,0.46,640.0,16800.0,9
boot,5000.0,200,980.0,1950.0,5200.0,62.3,0.0,0.15,510.0,1040.0,0
boot,10000.0,200,2100.0,4300.0,8650.0,61.94,0.0,0.22,540.0,2200.0,0
boot,50000.0,200,8902.0,24901.0,4503.0,44.13,0.0,0.34,550.0,9131.0,4
boot,5000.0,500,1252.0,2563.0,5612.0,49.9,0.0,0.17,590.3,1325.0,0
boot,10000.0,500,2783.0,5329.0,9432.0,50.6,0.0,0.25,578.0,2568.0,0
boot,50000.0,500,14300.0,28440.0,54700.0,31.25,0.46,0.33,567.0,14410.0,11
webflux,5000.0,50,5.31,21.94,32.9,4221.29,0.0,0.14,412.3,5.04,0
webflux,5000.0,100,4.35,15.25,22.9,4904.65,0.0,0.15,418.0,3.98,0
webflux,5000.0,200,13.0,48.75,73.1,4741.53,0.0,0.15,412.3,11.94,0
webflux,5000.0,500,25.23,89.55,112.44,4048.0,0.0,0.17,465.7,27.23,0
webflux,10000.0,200,9.54,26.33,31.48,7766.0,0.0,0.18,512.6,8.1,0
webflux,10000.0,500,48.26,120.62,181.0,7483.37,0.0,0.21,588.7,44.71,0
webflux,50000.0,50,5.95,12.96,19.4,6998.27,0.0,0.19,750.3,5.67,0
webflux,50000.0,100,9.72,21.96,33.0,8555.04,0.0,0.2,775.6,9.12,0
webflux,50000.0,200,12.48,29.44,37.01,11681.0,0.0,0.18,816.3,13.82,0
webflux,5000.0,500,14.72,33.34,41.02,10540.0,0.0,0.31,889.5,15.85,0
boot,5000.0,50,4200.0,21000.0,36000.0,4300.0,5.1,0.28,210.0,4300.0,0
boot,10000.0,50,8900.0,42000.0,61000.0,5200.0,18.9,0.42,240.0,9000.0,3
boot,50000.0,50,32000.0,78000.0,120000.0,6400.0,46.3,0.61,290.0,32500.0,17
boot,5000.0,100,1600.0,3200.0,9200.0,4700.0,0.0,0.18,460.0,1700.0,0
boot,10000.0,100,2400.0,5200.0,13500.0,9200.0,0.0,0.23,520.0,2500.0,0
boot,50000.0,100,12800.0,26500.0,48000.0,30500.0,21.8,0.39,560.0,12900.0,6
boot,5000.0,200,920.0,1800.0,4800.0,4950.0,0.0,0.14,510.0,980.0,0
boot,10000.0,200,1400.0,2900.0,6800.0,9850.0,0.0,0.19,550.0,1450.0,0
boot,50000.0,200,9100.0,19400.0,36200.0,41200.0,9.2,0.33,600.0,9300.0,3
boot,5000.0,500,1100.0,2300.0,5100.0,4980.0,0.0,0.16,560.0,1150.0,0
boot,10000.0,500,1900.0,4100.0,8400.0,9950.0,0.0,0.22,590.0,2000.0,0
boot,50000.0,500,10200.0,21400.0,39500.0,46800.0,7.6,0.37,640.0,10350.0,5
webflux,5000.0,50,3.9,14.2,21.6,4550.0,0.0,0.12,390.0,3.7,0
webflux,5000.0,100,3.4,11.8,17.9,4880.0,0.0,0.13,395.0,3.2,0
webflux,5000.0,200,6.8,24.9,38.2,4750.0,0.0,0.14,405.0,6.4,0
webflux,5000.0,500,18.1,61.3,92.4,4120.0,0.0,0.17,450.0,19.2,0
webflux,10000.0,50,4.2,10.1,15.3,7050.0,0.0,0.17,480.0,4.0,0
webflux,10000.0,100,6.9,18.4,26.9,8200.0,0.0,0.19,495.0,6.6,0
webflux,10000.0,200,8.3,23.7,32.8,7980.0,0.0,0.18,510.0,7.9,0
webflux,10000.0,500,36.4,102.5,155.8,7620.0,0.0,0.22,570.0,34.9,0
webflux,50000.0,50,4.9,11.6,17.8,7100.0,0.0,0.18,720.0,4.6,0
webflux,50000.0,100,8.1,19.9,29.6,8800.0,0.0,0.2,750.0,7.7,0
webflux,50000.0,200,10.7,27.1,36.2,11800.0,0.0,0.21,790.0,10.3,0
webflux,50000.0,500,15.9,38.6,48.9,10850.0,0.0,0.29,860.0,16.8,0
boot,5000.0,50,4600.0,22500.0,36500.0,4350.0,5.8,0.29,220.0,4700.0,0
boot,10000.0,50,9100.0,44000.0,65500.0,5250.0,20.1,0.44,250.0,9300.0,4
boot,50000.0,50,33500.0,80500.0,124000.0,6600.0,47.5,0.63,300.0,34000.0,19
boot,5000.0,100,1700.0,3400.0,9600.0,4720.0,0.0,0.19,460.0,1800.0,0
boot,10000.0,100,2550.0,5600.0,14200.0,9300.0,0.0,0.24,520.0,2650.0,0
boot,50000.0,100,13600.0,28500.0,50500.0,31200.0,0.0,0.4,570.0,13800.0,6
boot,5000.0,200,980.0,1950.0,5200.0,4960.0,0.0,0.15,510.0,1040.0,0
boot,10000.0,200,1500.0,3150.0,7100.0,9880.0,0.0,0.2,550.0,1550.0,0
boot,50000.0,200,9600.0,20500.0,38000.0,41800.0,9.8,0.34,600.0,9750.0,3
boot,5000.0,500,1250.0,2500.0,5600.0,4990.0,0.0,0.17,560.0,1300.0,0
