Service,FrameWork,TPS,Threadpool,Avg Response Time(ms),P95,P99,Throughput(rps),Error Rate,CPU Usage,Memory,Latency(ms),Request Timeouts
Review,boot,5000.0,50.0,5610.0,33700.0,50000.0,8.55,0.0,0.31,229.0,5710.0,0.0
Review,boot,10000.0,50.0,8200.0,41000.0,72000.0,9.1,0.8,0.34,245.0,8300.0,2.0
Review,boot,50000.0,50.0,22000.0,78000.0,130000.0,10.2,5.1,0.48,280.0,22500.0,12.0
Review,boot,5000.0,100.0,1810.0,3580.0,10500.0,23.46,0.0,0.19,523.0,1345.0,0.0
Review,boot,10000.0,100.0,1810.0,3580.0,10500.0,51.47,0.0,0.19,567.0,1910.0,0.0
Review,boot,50000.0,100.0,16500.0,42000.0,88000.0,31.8,4.9,0.46,640.0,16800.0,9.0
Review,boot,5000.0,200.0,980.0,1950.0,5200.0,62.3,0.0,0.15,510.0,1040.0,0.0
Review,boot,10000.0,200.0,2100.0,4300.0,8650.0,61.94,0.0,0.22,540.0,2200.0,0.0
Review,boot,50000.0,200.0,8902.0,24901.0,4503.0,44.13,0.0,0.34,550.0,9131.0,4.0
Review,boot,5000.0,500.0,1252.0,2563.0,5612.0,49.9,0.0,0.17,590.3,1325.0,0.0
Review,boot,10000.0,500.0,2783.0,5329.0,9432.0,50.6,0.0,0.25,578.0,2568.0,0.0
Review,boot,50000.0,500.0,14300.0,28440.0,54700.0,31.25,0.46,0.33,567.0,14410.0,11.0
Review,webflux,5000.0,50.0,5.31,21.94,32.9,4221.29,0.0,0.14,412.3,5.04,0.0
Review,webflux,5000.0,100.0,4.35,15.25,22.9,4904.65,0.0,0.15,418.0,3.98,0.0
Review,webflux,5000.0,200.0,13.0,48.75,73.1,4741.53,0.0,0.15,412.3,11.94,0.0
Review,webflux,5000.0,500.0,25.23,89.55,112.44,4048.0,0.0,0.17,465.7,27.23,0.0
Review,webflux,10000.0,200.0,9.54,26.33,31.48,7766.0,0.0,0.18,512.6,8.1,0.0
Review,webflux,10000.0,500.0,48.26,120.62,181.0,7483.37,0.0,0.21,588.7,44.71,0.0
Review,webflux,50000.0,50.0,5.95,12.96,19.4,6998.27,0.0,0.19,750.3,5.67,0.0
Review,webflux,50000.0,100.0,9.72,21.96,33.0,8555.04,0.0,0.2,775.6,9.12,0.0
Review,webflux,50000.0,200.0,12.48,29.44,37.01,11681.0,0.0,0.18,816.3,13.82,0.0
Review,webflux,5000.0,500.0,14.72,33.34,41.02,10540.0,0.0,0.31,889.5,15.85,0.0
Notification,boot,5000.0,50.0,4200.0,21000.0,36000.0,4300.0,5.1,0.28,210.0,4300.0,0.0
Notification,boot,10000.0,50.0,8900.0,42000.0,61000.0,5200.0,18.9,0.42,240.0,9000.0,3.0
Notification,boot,50000.0,50.0,32000.0,78000.0,120000.0,6400.0,46.3,0.61,290.0,32500.0,17.0
Notification,boot,5000.0,100.0,1600.0,3200.0,9200.0,4700.0,0.0,0.18,460.0,1700.0,0.0
Notification,boot,10000.0,100.0,2400.0,5200.0,13500.0,9200.0,0.0,0.23,520.0,2500.0,0.0
Notification,boot,50000.0,100.0,12800.0,26500.0,48000.0,30500.0,21.8,0.39,560.0,12900.0,6.0
Notification,boot,5000.0,200.0,920.0,1800.0,4800.0,4950.0,0.0,0.14,510.0,980.0,0.0
Notification,boot,10000.0,200.0,1400.0,2900.0,6800.0,9850.0,0.0,0.19,550.0,1450.0,0.0
Notification,boot,50000.0,200.0,9100.0,19400.0,36200.0,41200.0,9.2,0.33,600.0,9300.0,3.0
Notification,boot,5000.0,500.0,1100.0,2300.0,5100.0,4980.0,0.0,0.16,560.0,1150.0,0.0
Notification,boot,10000.0,500.0,1900.0,4100.0,8400.0,9950.0,0.0,0.22,590.0,2000.0,0.0
Notification,boot,50000.0,500.0,10200.0,21400.0,39500.0,46800.0,7.6,0.37,640.0,10350.0,5.0
Notification,webflux,5000.0,50.0,3.9,14.2,21.6,4550.0,0.0,0.12,390.0,3.7,0.0
Notification,webflux,5000.0,100.0,3.4,11.8,17.9,4880.0,0.0,0.13,395.0,3.2,0.0
Notification,webflux,5000.0,200.0,6.8,24.9,38.2,4750.0,0.0,0.14,405.0,6.4,0.0
Notification,webflux,5000.0,500.0,18.1,61.3,92.4,4120.0,0.0,0.17,450.0,19.2,0.0
Notification,webflux,10000.0,50.0,4.2,10.1,15.3,7050.0,0.0,0.17,480.0,4.0,0.0
Notification,webflux,10000.0,100.0,6.9,18.4,26.9,8200.0,0.0,0.19,495.0,6.6,0.0
Notification,webflux,10000.0,200.0,8.3,23.7,32.8,7980.0,0.0,0.18,510.0,7.9,0.0
Notification,webflux,10000.0,500.0,36.4,102.5,155.8,7620.0,0.0,0.22,570.0,34.9,0.0
Notification,webflux,50000.0,50.0,4.9,11.6,17.8,7100.0,0.0,0.18,720.0,4.6,0.0
Notification,webflux,50000.0,100.0,8.1,19.9,29.6,8800.0,0.0,0.2,750.0,7.7,0.0
Notification,webflux,50000.0,200.0,10.7,27.1,36.2,11800.0,0.0,0.21,790.0,10.3,0.0
Notification,webflux,50000.0,500.0,15.9,38.6,48.9,10850.0,0.0,0.29,860.0,16.8,0.0
Inventory Availability Service,boot,5000.0,50.0,4600.0,22500.0,36500.0,4350.0,5.8,0.29,220.0,4700.0,0.0
Inventory Availability Service,boot,10000.0,50.0,9100.0,44000.0,65500.0,5250.0,20.1,0.44,250.0,9300.0,4.0
Inventory Availability Service,boot,50000.0,50.0,33500.0,80500.0,124000.0,6600.0,47.5,0.63,300.0,34000.0,19.0
Inventory Availability Service,boot,5000.0,100.0,1700.0,3400.0,9600.0,4720.0,0.0,0.19,460.0,1800.0,0.0
Inventory Availability Service,boot,10000.0,100.0,2550.0,5600.0,14200.0,9300.0,0.0,0.24,520.0,2650.0,0.0
Inventory Availability Service,boot,50000.0,100.0,13600.0,28500.0,50500.0,31200.0,0.0,0.4,570.0,13800.0,6.0
Inventory Availability Service,boot,5000.0,200.0,980.0,1950.0,5200.0,4960.0,0.0,0.15,510.0,1040.0,0.0
Inventory Availability Service,boot,10000.0,200.0,1500.0,3150.0,7100.0,9880.0,0.0,0.2,550.0,1550.0,0.0
Inventory Availability Service,boot,50000.0,200.0,9600.0,20500.0,38000.0,41800.0,9.8,0.34,600.0,9750.0,3.0
Inventory Availability Service,boot,5000.0,500.0,1250.0,2500.0,5600.0,4990.0,0.0,0.17,560.0,1300.0,0.0
Inventory Availability Service,boot,10000.0,500.0,2050.0,4250.0,8800.0,9970.0,0.0,0.23,590.0,2100.0,0.0
Inventory Availability Service,boot,50000.0,500.0,10800.0,22500.0,40500.0,47000.0,8.1,0.38,640.0,11000.0,5.0
Inventory Availability Service,webflux,5000.0,50.0,4.3,15.6,23.2,4600.0,0.0,0.13,400.0,4.1,0.0
Inventory Availability Service,webflux,5000.0,100.0,3.6,12.5,18.6,4910.0,0.0,0.14,405.0,3.4,0.0
Inventory Availability Service,webflux,5000.0,200.0,7.1,25.7,39.4,4760.0,0.0,0.15,415.0,6.8,0.0
Inventory Availability Service,webflux,5000.0,500.0,18.9,66.9,98.8,4150.0,0.0,0.18,460.0,20.0,0.0
Inventory Availability Service,webflux,10000.0,50.0,4.7,11.0,16.5,7120.0,0.0,0.18,485.0,4.5,0.0
Inventory Availability Service,webflux,10000.0,100.0,7.2,19.2,28.0,8300.0,0.0,0.2,500.0,6.9,0.0
Inventory Availability Service,webflux,10000.0,200.0,8.8,24.9,34.1,8050.0,0.0,0.19,520.0,8.4,0.0
Inventory Availability Service,webflux,10000.0,500.0,37.6,108.3,160.2,7700.0,0.0,0.23,580.0,36.1,0.0
Inventory Availability Service,webflux,50000.0,50.0,5.4,12.1,17.9,7250.0,0.0,0.19,735.0,5.1,0.0
Inventory Availability Service,webflux,50000.0,100.0,8.6,20.8,30.3,8900.0,0.0,0.21,765.0,8.2,0.0
Inventory Availability Service,webflux,50000.0,200.0,11.2,28.2,37.6,11900.0,0.0,0.22,805.0,10.8,0.0
Inventory Availability Service,webflux,50000.0,500.0,16.4,40.2,51.8,11050.0,0.0,0.3,875.0,17.5,0.0
user,boot,5000.0,50.0,3208.92,4486.2,7816.41,12.1,0.0,0.12,628.0,3202.04,0.0
user,boot,5000.0,100.0,1937.13,6837.76,10807.76,45.33,0.0,0.06,563.0,1943.43,0.0
user,boot,5000.0,150.0,1967.74,5318.82,10010.1,94.83,0.0,0.1,550.0,1967.94,0.0
user,boot,5000.0,200.0,1791.78,4736.13,11383.48,88.6,0.0,0.13,580.0,1787.46,0.0
user,boot,5000.0,300.0,2300.57,5918.79,11598.06,169.69,0.0,0.2,694.0,2308.87,0.0
user,boot,5000.0,350.0,2693.44,3979.27,9184.62,192.07,0.0,0.11,646.0,2698.12,0.0
user,boot,5000.0,450.0,1000.0,3318.61,6991.98,241.59,0.0,0.18,557.0,1004.83,0.0
user,boot,5000.0,500.0,1000.0,3020.66,6106.35,258.31,0.0,0.09,666.0,991.76,0.0
user,boot,10000.0,50.0,6277.74,7643.32,13758.14,10.16,0.0,0.09,560.0,6274.11,0.0
